V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
0.697015366,1.094439481,0.827807922,0.988228055,0.71911,1.271455142,1.073651047,1.023482282,0.985730472,0.279939821,0.517812497,0.604572758,0.428442547,0.255148696,0.539214704,-0.008114994,0.035173925,-0.155924113,-0.622337106,-0.54273149,-0.33532656,-0.40127383,-1.184912645,-1.086192421,-0.783121937,-0.768896632,-1.087053196,-1.050567156,-1.146079621,-1.198100413,-0.779732681,-0.708384326,-0.466403227,-0.624140536,-0.730488094,-0.988452098,-0.620564663,-0.326887613,-0.053335743,-0.256339678,-0.151187969,0.142375366,0.317991791,0.24377591,0.022896749,0.728215021,0.930230751,0.778161141,0.731518242,0.685600964,1
0.768835745,0.9122048,0.869041893,0.719700622,1.399668719,0.830841274,0.745639108,0.971402354,0.910905584,0.886608098,0.451281242,0.459029205,0.578253246,0.476426128,-0.13083233,0.048600287,-0.239824259,-0.041500669,-0.003013994,-0.351655816,-0.410318551,-0.740034397,-0.629000816,-0.962867274,-0.93879496,-0.691929077,-1.031123119,-0.775287591,-0.901545209,-1.051292623,-1.021844259,-0.834986451,-0.990857756,-1.02490735,-0.837552036,-0.593140873,-0.815697496,-0.456762602,-0.382724004,-0.766100127,-0.152954628,0.207788973,0.090094855,0.156511214,0.503639195,0.532945193,0.559687574,0.611163031,1.023926943,0.544572968,1
1.010194412,0.843927815,1.161061735,0.709506567,1.159983595,0.842951325,0.612557585,1.059121391,0.725227697,0.946678209,0.934368821,0.608707321,0.27901552,0.004168775,0.31812778,0.248629608,0.017367721,-0.155970461,0.048691889,-0.510739151,-0.567062676,-0.468389792,-0.982827334,-0.510855273,-0.96882327,-1.047395597,-1.285299567,-0.81935059,-0.723281958,-0.848807491,-1.128536423,-0.832469631,-0.96909564,-0.891946456,-1.054180795,-0.219791846,-0.732005368,-0.484912781,-0.027989847,-0.703505309,-0.214996692,-0.005238109,0.092197957,0.26226274,0.365478341,0.40978499,0.867771415,0.694493984,0.872227989,0.587891581,1
0.839230949,1.09494555,1.155514398,1.141349311,1.005988597,0.827027431,1.23502218,0.866775048,1.202426818,0.676591398,0.758949991,0.314937213,0.326029222,0.444078305,0.241083477,-0.051085482,-0.018164406,0.157979552,-0.266413847,-0.361558009,-0.179720075,-0.535834308,-0.799596746,-0.576279838,-0.916417503,-0.906691342,-1.142149033,-1.104450872,-1.27412829,-1.22191523,-0.551417444,-1.216479963,-0.860822272,-1.040443801,-0.940744574,-0.289767542,-0.900346561,-0.37459361,-0.567039459,-0.344699522,-0.173267752,-0.226783436,0.036386627,0.115629494,0.536578969,0.471554973,0.451243599,0.708307453,0.84995625,1.037880875,1
0.833998058,0.89155373,1.094865699,1.097483619,1.038776128,1.052983163,0.45632576,0.6391308,1.064015155,1.087445831,0.595767857,0.705475207,0.579853555,0.560561152,0.179688562,0.024797976,0.020308867,0.10874345,-0.5660619,-0.719787016,-0.733279112,-0.428975984,-0.607254414,-0.505341956,-0.926992041,-0.819162265,-1.011824174,-1.45732998,-1.112578558,-1.213108379,-1.327832415,-1.212072431,-1.178543546,-0.76730458,-0.519171351,-0.454377347,-0.741091946,-0.093798306,-0.424423752,-0.247066127,-0.494945578,0.254821465,-0.09014509,0.442062778,0.324861305,0.462549816,0.191069917,0.617715592,0.896098313,1.084469392,1
1.103716442,1.132155695,1.310080491,0.834653748,0.836293366,0.974060267,0.905986057,0.869400256,0.620241539,0.650275194,0.660216674,0.648588868,0.39928949,0.320875119,0.411753452,0.151190185,-0.056871243,-0.100919933,0.201909405,-0.350559826,-0.202098918,-0.672838951,-0.810308863,-0.610193967,-0.787528384,-0.701845659,-1.047510186,-1.137266638,-1.191535246,-0.862196119,-0.688954531,-0.678084447,-0.86401066,-0.703510559,-0.366641252,-0.723357144,-0.663089336,-0.533423791,-0.393703911,-0.391182398,-0.044148229,-0.024369287,0.2851098,0.362573243,0.35755953,0.560406917,0.803948424,0.914328192,0.758668344,0.583661682,1
0.614756585,0.974544596,1.405280109,0.980778291,0.552512089,0.988278849,0.594171569,0.682508572,0.928774038,0.644291572,0.427983458,0.873710364,0.756384102,0.235272884,0.16143519,0.184873206,0.052309881,0.344456446,-0.643919387,-0.52586346,-0.159443036,-0.557765771,-1.01918134,-0.578091362,-0.586177165,-0.797334788,-0.775886553,-1.107398224,-0.700929947,-0.946582796,-1.184609998,-1.014521841,-0.843099282,-0.869732363,-0.936866073,-0.640856662,-0.767380828,-0.314075793,-0.746396646,-0.251876036,-0.292625341,0.165882891,0.040927834,0.442337016,0.569168394,0.446357018,0.220537361,0.50585086,0.661543766,0.462174175,1
0.326102062,0.807439885,1.106723832,1.035493703,0.705837,1.226976158,1.081372252,1.132142364,0.951088018,0.571053765,0.539306328,0.360584172,0.709055442,0.512882881,0.223497613,0.373098129,0.102193278,-0.27746486,-0.039655573,-0.252346848,-0.341961608,-0.588605536,-0.728340813,-0.786240885,-0.270846926,-0.717762737,-0.838981529,-1.011822449,-0.638610832,-1.135892781,-1.337804546,-1.052805147,-0.929715348,-0.683655791,-0.748412724,-0.553983541,-0.507822015,0.180570691,-0.558213655,-0.37561543,0.260154884,-0.25149178,0.066485135,0.104565302,0.399580337,0.811606704,0.368686949,0.417854983,0.678719261,0.978851007,1
0.761993349,1.03062255,1.009558845,0.679180604,0.952832771,1.21490432,0.937676331,1.081192712,0.595154238,0.682789759,0.876185633,0.612552442,0.853595825,0.185361224,0.481097078,0.097379113,-0.133443004,-0.345559074,-0.281034697,-0.074919002,-0.439384172,-0.73687811,-0.244494236,-0.567308542,-0.265543415,-1.114445895,-0.982987949,-1.258274097,-0.934968609,-1.347245513,-0.774718825,-1.082397335,-0.99392191,-0.922319399,-0.854569319,-0.565346537,-0.518986596,-0.599141562,-0.07231413,-0.644866149,0.012380385,-0.062726586,0.319167448,0.080123626,0.742677242,0.540910042,0.625787952,0.752291175,1.019083095,0.67067897,1
0.836384476,0.706854236,1.060548759,1.129043451,1.605910337,1.150209673,0.817652602,0.59893993,0.956362509,0.807163935,0.420417174,0.349836325,0.424890781,0.679102476,0.23589853,-0.131640148,0.092059804,0.287570676,-0.109155686,-0.420778836,-0.264527652,-0.472072004,-0.357795026,-0.682712925,-0.815518895,-0.559081828,-0.966293062,-0.90633878,-1.042329358,-1.053615393,-1.129379343,-1.000967292,-0.845124241,-0.827442181,-1.009320739,-0.513226583,-0.874698358,-0.475363075,-0.61189787,-0.132220371,0.073512694,0.011449221,0.331411704,0.108919965,0.709520742,0.194059743,0.607727569,0.595972581,0.524455236,0.754111468,1
0.86228515,0.916834564,1.008302025,1.028608642,0.848307566,0.912580571,1.048622842,0.908176684,0.95511333,0.796088546,0.776380152,0.592441795,0.479629725,0.523938404,0.187653353,0.211237711,0.162572817,-0.082559792,-0.251929272,-0.522442069,-0.037414844,-0.656052828,-0.589155491,-1.215272398,-0.99885154,-0.970808927,-0.974196115,-0.772480471,-0.80582011,-1.068747375,-1.17310248,-0.837762011,-1.277777653,-1.234306824,-0.799855875,-0.588481587,-0.577716427,-0.619720203,-0.206451971,-0.338699241,-0.059846641,-0.288932475,-0.150677355,0.46417063,0.175173977,0.12770331,0.374305664,0.69829445,0.829638515,0.874161786,1
